length,freq,adopt_freq,avg_commit_count,avg_adopt_commit_count,avg_commits_when_adopt,avg_commits_no_adopt
5.0,17774,209,15.673005513671654,0.012771463936086419,18.851674641148325,15.635183603757472
32.5,126,3,79.54761904761905,0.023809523809523808,33.333333333333336,80.67479674796748
33.0,112,4,54.205357142857146,0.03571428571428571,74.25,53.46296296296296
34.0,112,3,70.20535714285714,0.03571428571428571,34.333333333333336,71.19266055045871
35.5,111,6,85.14414414414415,0.07207207207207207,56.166666666666664,86.8
1.0,54373,681,9.311901127397789,0.013039560075772902,9.427312775330396,9.310437309096327
6.5,15722,164,17.08656659458084,0.01119450451596489,19.01829268292683,17.066203882247077
38.0,86,5,74.09302325581395,0.06976744186046512,61.0,74.90123456790124
39.0,51,7,123.58823529411765,0.21568627450980393,151.57142857142858,119.13636363636364
40.0,35,2,88.14285714285714,0.05714285714285714,38.0,91.18181818181819
41.0,29,3,99.13793103448276,0.10344827586206896,195.0,88.07692307692308
42.5,17,4,81.23529411764706,0.35294117647058826,132.25,65.53846153846153
7.5,13945,142,18.209178917174615,0.011115095016134816,24.62676056338028,18.143157284648264
44.0,16,0,51.75,0.0,None,51.75
45.0,16,0,65.1875,0.0,None,65.1875
46.0,18,1,173.77777777777777,0.05555555555555555,47.0,181.23529411764707
47.0,15,2,46.53333333333333,0.13333333333333333,52.5,45.61538461538461
48.0,18,0,98.55555555555556,0.0,None,98.55555555555556
8.5,11674,121,19.70241562446462,0.01130717834504026,28.628099173553718,19.608932744741626
50.0,5,0,114.4,0.0,None,114.4
51.5,12,1,44.666666666666664,0.08333333333333333,101.0,39.54545454545455
52.0,12,1,155.0,0.16666666666666666,30.0,166.36363636363637
53.5,15,1,93.6,0.13333333333333333,198.0,86.14285714285714
54.0,12,1,49.666666666666664,0.08333333333333333,50.0,49.63636363636363
9.0,10788,133,20.64469781238413,0.013718946978123842,25.706766917293233,20.58151102768653
56.5,10,0,171.7,0.0,None,171.7
57.0,11,0,134.63636363636363,0.0,None,134.63636363636363
58.5,17,4,66.23529411764706,0.6470588235294118,70.0,65.07692307692308
59.5,13,1,94.76923076923077,0.07692307692307693,80.0,96.0
60.0,15,3,114.86666666666666,0.2,85.33333333333333,122.25
10.0,6423,65,23.90471742176553,0.011209715086408221,23.523076923076925,23.9086190625983
62.0,12,0,203.66666666666666,0.0,None,203.66666666666666
63.0,11,3,149.36363636363637,0.7272727272727273,102.0,167.125
64.0,10,4,206.6,0.5,144.5,248.0
65.5,6,0,311.3333333333333,0.0,None,311.3333333333333
2.5,26231,361,11.62220273721932,0.014944150051465823,14.246537396121884,11.585581754928489
11.0,5052,66,26.623119556611243,0.01583531274742676,23.09090909090909,26.66987565182511
68.0,4,1,128.0,0.25,114.0,132.66666666666666
69.5,1,1,123.0,2.0,123.0,None
70.5,4,1,75.0,0.25,88.0,70.66666666666667
71.0,4,1,77.25,0.25,140.0,56.333333333333336
72.5,4,0,72.0,0.0,None,72.0
12.5,3945,43,28.02357414448669,0.012674271229404309,24.767441860465116,28.0594566888775
74.5,2,1,113.0,0.5,99.0,127.0
75.5,6,2,101.5,1.0,102.5,101.0
76.0,2,0,141.5,0.0,None,141.5
77.0,2,0,88.0,0.0,None,88.0
78.5,4,1,90.0,0.25,193.0,55.666666666666664
13.0,3438,48,31.41564863292612,0.017452006980802792,48.8125,31.169321533923302
80.0,2,0,424.0,0.0,None,424.0
81.5,6,1,134.16666666666666,0.5,142.0,132.6
82.5,6,3,115.33333333333333,1.1666666666666667,142.0,88.66666666666667
83.5,5,1,118.4,0.4,56.0,134.0
84.5,11,5,92.45454545454545,0.9090909090909091,130.6,60.666666666666664
14.5,1978,28,34.22093023255814,0.016177957532861477,46.285714285714285,34.04769230769231
86.5,6,1,149.5,0.16666666666666666,98.0,159.8
87.0,6,1,132.83333333333334,0.6666666666666666,123.0,134.8
88.5,2,1,789.5,1.5,860.0,719.0
89.5,5,2,82.8,0.6,98.0,72.66666666666667
90.0,5,1,138.6,0.4,161.0,133.0
15.5,1062,24,33.26459510357815,0.025423728813559324,39.583333333333336,33.11849710982659
92.5,3,2,98.0,0.6666666666666666,89.5,115.0
37.5,78,4,89.74358974358974,0.05128205128205128,44.25,92.20270270270271
94.0,1,0,204.0,0.0,None,204.0
95.5,1,1,178.0,1.0,178.0,None
96.0,2,0,2189.0,0.0,None,2189.0
16.0,771,15,30.797665369649806,0.023346303501945526,32.666666666666664,30.76058201058201
98.0,4,3,189.0,2.25,230.0,66.0
99.5,1,1,222.0,1.0,222.0,None
100.5,1,1,126.0,1.0,126.0,None
101.0,1,0,329.0,0.0,None,329.0
102.0,3,1,204.33333333333334,0.6666666666666666,378.0,117.5
17.0,504,11,29.404761904761905,0.023809523809523808,32.81818181818182,29.328600405679513
104.0,2,2,165.5,1.0,165.5,None
105.0,5,0,244.6,0.0,None,244.6
106.0,1,1,128.0,2.0,128.0,None
107.5,2,0,281.0,0.0,None,281.0
108.5,6,1,503.5,0.16666666666666666,297.0,544.8
18.0,327,13,32.24464831804281,0.04281345565749235,28.53846153846154,32.39808917197452
110.0,4,1,98.75,0.25,103.0,97.33333333333333
111.0,3,0,171.0,0.0,None,171.0
112.0,2,1,204.5,1.0,146.0,263.0
113.0,1,1,342.0,1.0,342.0,None
114.5,2,0,206.0,0.0,None,206.0
19.0,267,9,34.47565543071161,0.06367041198501873,37.0,34.3875968992248
116.5,2,1,228.0,1.0,157.0,299.0
117.5,1,1,312.0,1.0,312.0,None
119.5,3,1,217.0,0.3333333333333333,121.0,265.0
120.0,1,1,191.0,1.0,191.0,None
20.0,277,3,38.014440433213,0.021660649819494584,39.333333333333336,38.0
122.0,1,0,129.0,0.0,None,129.0
123.0,1,1,125.0,1.0,125.0,None
124.0,2,0,132.5,0.0,None,132.5
4.5,18829,206,14.358330235275373,0.011471666047055075,18.019417475728154,14.317832787413414
21.0,246,7,39.292682926829265,0.032520325203252036,67.0,38.48117154811715
128.5,1,1,166.0,1.0,166.0,None
129.0,1,0,152.0,0.0,None,152.0
130.0,1,1,235.0,3.0,235.0,None
131.5,1,1,266.0,1.0,266.0,None
132.5,1,0,536.0,0.0,None,536.0
22.0,234,7,36.56837606837607,0.03418803418803419,15.285714285714286,37.22466960352423
134.5,3,2,163.33333333333334,1.3333333333333333,168.0,154.0
135.5,1,0,597.0,0.0,None,597.0
136.5,3,1,340.3333333333333,2.0,199.0,411.0
137.0,1,1,248.0,1.0,248.0,None
