user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
16645,473,124
16646,321,106
16648,224,434
16650,191,41
16655,649,181
16657,392,202
16659,978,408
16660,1086,525
16662,475,259
16663,172,123
16693,207,14
16733,20,133
16742,23,280
16757,100,81
16795,50,191
16872,151,2
16874,131,120
16875,275,198
16884,387,380
16885,297,221
16886,42,181
16903,26,200
16916,38,107
16924,127,341
16925,3120,3644
16926,86,103
16936,122,63
16942,18,100
16943,39,184
16944,165,130
16947,1258,150
16948,128,75
16950,96,130
16957,122,99
16961,116,91
16969,55,164
16970,3,111
16980,334,197
16981,2647,1467
16983,582,225
16984,4915,2618
16985,142,652
16989,299,589
16991,185,45
16995,1084,236
16996,8752,3051
17000,36,476
17003,151,9
17043,15,455
17133,80,362
17141,103,411
17142,63,247
17145,48,353
17152,567,800
17158,2,131
17161,109,1085
17173,0,126
17189,625,221
17190,2450,1450
17192,611,146
17196,0,261
17204,16,110
17210,32,110
17211,222,305
17215,17,264
17222,150,110
17224,10,130
17240,111,39
17242,562,187
17243,1125,227
17244,438,261
17246,142,200
17277,192,239
17280,1,330
17283,36,182
17286,250,964
17289,146,19
17309,163,42
17311,525,352
17312,0,103
17320,355,495
17325,9,145
17326,9,141
17329,123,6
17334,911,778
17336,64,476
17346,0,132
17353,212,8
17386,104,169
17399,180,219
17400,228,129
17419,240,127
17421,0,112
17439,531,401
17440,268,674
17444,165,33
17456,117,119
17459,293,72
17461,604,36
17462,117,183
17480,4,102
17487,115,29
17499,721,346
17502,110,29
17507,633,1695
17513,171,442
17521,0,149
17546,69,108
17584,58,313
17585,45,122
17593,281,7
17596,325,401
17616,97,161
17622,405,21
17623,146,410
17631,307,963
17641,124,116
17687,24,103
17713,518,239
17714,6023,1302
17725,382,1272
17768,824,144
17786,375,239
17791,7,112
17796,72,108
17797,7716,271
17802,117,47
17804,40,183
17805,1727,4152
17814,221,288
17815,1576,1515
17818,138,760
17824,0,269
17837,117,92
17892,0,116
17945,8,179
17953,145,273
17968,1860,4
17975,28,108
17983,169,126
17984,385,97
18007,0,207
18055,139,212
18061,1095,1217
18068,2685,589
18069,14,230
18089,265,40
18099,641,551
18101,124,266
18102,0,121
18150,37,242
18167,0,106
18187,105,46
18302,63,431
18308,0,207
18351,117,141
18364,25,303
18368,135,222
18383,700,194
18384,13,125
18399,0,117
18401,622,228
18413,1369,3956
18422,357,123
18425,200,188
18486,0,101
18518,382,86
18550,92,100
18566,6273,2180
18576,119,193
18591,226,164
18594,470,49
18615,12349,1322
18625,130,6
18626,128,24
18666,7,158
18684,13,112
18690,1126,105
18699,3469,2861
18700,188,107
18702,23,4604
18726,4277,297
18728,759,440
18729,113,84
18739,164,121
18756,10,107
18761,26,104
18764,203,3
18765,597,185
18790,361,642
18794,501,286
18806,104,39
18811,90,128
18819,276,429
18820,5208,1413
18823,143,78
18833,12,6719
18852,312,292
18863,18,122
18867,2836,38
18874,99,136
19014,135,55
19018,2058,170
19019,0,872
19029,193,23
19052,113,25
19104,1120,24
19131,57,1685
19206,1108,360
19212,21,179
19213,98,662
19232,1852,1432
19247,6662,1372
19250,1890,1605
19254,0,349
19259,36,478
19277,248,343
19279,28,292
19280,1416,805
19281,124,694
19283,346,597
19289,1367,387
19295,2968,334
19296,316,224
19299,386,793
19301,957,595
19313,0,193
19319,84,129
19329,479,711
19332,47,143
19333,0,146
19341,1063,452
19345,2380,280
19352,288,333
19354,1381,242
19358,113,120
19359,259,218
19360,57,339
19388,52,383
19390,101,210
19391,0,333
19392,300,6
19393,306,280
19399,258,168
19403,1054,998
19404,1654,1928
19408,45,123
19409,145,443
19412,0,173
19428,253,210
19432,156,246
19439,161,618
19454,13,137
19461,146,313
19475,198,280
19483,0,350
19491,317,247
19492,163,87
19516,1381,359
19518,32,108
19521,285,1378
19527,10,178
19528,185,168
19529,43,288
19532,32,153
19533,0,116
19544,108,170
19547,12,425
19548,108,282
19558,116,247
19603,289,175
19608,6132,722
19609,30,120
19624,0,125
19640,0,213
19647,295,191
