user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
8021,124,37
8023,48,27
8034,201,234
8038,221,12
8041,81,646
8048,413,121
8056,1337,147
8057,231,106
8065,1763,180
8071,36,14
8074,407,1162
8075,1032,333
8076,1,8
8092,316,155
8099,14,3
8102,1213,47
8107,1221,173
8110,349,329
8121,28,16
8133,3,69
8142,901,2879
8145,1053,608
8147,1,2
8148,248,118
8154,0,2
8155,49,221
8159,326,325
8162,4289,109
8163,49,32
8171,4,62
8176,2,8
8185,64,32
8186,101,376
8189,482,2192
8194,22,20
8196,4,0
8200,4,2
8205,1164,208
8222,185,496
8235,47,369
8248,0,57
8254,2,31
8255,1620,73
8259,94,126
8261,686,1189
8273,1,33
8292,8,24
8299,13,1
8304,738,347
8306,425,557
8322,6,6
8326,2,8
8328,415,577
8329,28,0
8335,107,158
8347,995,63
8354,4,1
8360,78,352
8362,117,17
8366,27,0
8388,3932,111
8395,818,1233
8396,307,309
8398,8,11
8399,414,20
8407,256,5
8420,2941,37
8423,202,53
8432,10310,183127
8444,567,339
8469,380,0
8471,242,2
8476,1193,65
8492,12,65
8498,14,0
8507,16757,10
8523,1,60
8535,3,6
8545,20,430
8547,0,3
8552,0,7
8567,0,1
8613,1,0
8622,24,172
8623,84,547
8642,8,6
8693,436,718
8702,5,0
8714,154,154
8722,30,3
8731,17,0
8744,9,0
8754,22,0
8755,1,3
8794,5,6
8802,56,52
8803,0,2
8807,7,0
8818,0,1
8823,0,1
8828,0,1
8849,206,1
8854,5,12
8894,4,13
8912,16,517
8922,2,0
8979,2,0
9016,0,2
9043,3,0
9062,9,3
9072,0,22
9127,8,2
9150,2,0
9151,120,68
9225,39596,33112
9232,0,1
9234,0,1
9245,2,0
9259,1,278
9267,12,0
9277,0,3
9288,0,10
9289,2,2
9301,11,47
9317,0,3
9321,0,10
9327,82,122
9353,3,1121
9356,1,52
9361,730,460
9365,45,1
9368,2,0
9383,10,0
9390,2,2
9394,9,257
9419,1,2
9427,10,11
9430,9,4
9432,14,0
9437,0,17
9439,0,1
9446,8,5
9455,108,11
9464,21,0
9465,12,12
9469,27,11
9479,130,2
9487,0,2
9501,2,0
9545,66,237
9565,1,0
9614,1,0
9631,0,6
9637,150,5
9650,1,52
9677,14,269
9678,63,0
9689,174,67
9694,41,12
9714,176,599
9721,1,0
9761,2370,8
9768,0,4
9773,3,4
9780,0,8
9789,20,0
9798,194,313
9804,1,6
9809,56,4
9844,1,0
9846,1,6
9849,4,48
9853,349,147
9860,23,27
9879,0,6
9880,0,54
9885,1,81
9893,2,1
9895,2,106
9913,2,3
9925,2,19
9948,5,2
9958,30,21
9964,2,21
9968,8,0
9974,6,0
9976,16,0
9985,189,1
9998,9,0
10022,13,46
10028,30,11
10029,8,2
10033,15,28
10041,1,8
10073,1,0
10085,69,40
10090,13,0
10119,17,13
10124,27,1
10152,0,3
10159,3,1
10171,1,0
10184,17,65
10236,0,1
10242,1,0
10251,17,281
10253,2,8
10278,12,0
10292,9,5
10300,135,2
10303,0,13
10318,9,0
10334,1,10
10350,0,1
10356,20,5
10383,0,48
10396,0,4
10404,5,2
10416,1,0
10432,1,0
10452,0,2
10456,0,8
10466,0,17
10524,3,0
10527,0,2
10559,2,8
10565,2,0
10569,0,1
10579,0,198
10585,16,247
10588,22,65
10666,117,580
10695,0,14
10722,1,4
10728,1,0
10750,44,3
10782,2455,799
10785,10,5
10800,116,79
10811,22,98
10852,1,0
10868,20,261
10879,0,112
10884,0,4
10946,4,0
10952,336,14
10954,2,7
10964,0,2
10967,4,4
10980,4,2
10995,0,2
10996,11,3
11012,0,271
11016,1920,9
11019,0,3
11025,32607,2072
11040,0,53
11056,3,0
11068,66,0
11080,12,11
11090,116,0
11111,4,794
11112,26,0
11117,18,550
11124,0,78
11136,0,1
11144,22,50
11145,449,254
11155,119,2
11158,270,15
11173,35,11
11194,8,0
11214,3,9
11242,5,0
11249,0,45
11255,2,11
11269,4,1
11272,6,3
11285,0,2
11286,0,7
11297,1,7
11321,0,2
11322,2,19
11336,5,3
11362,15,10
11381,0,2
11384,0,6
11411,6,0
11416,10,14
11425,14,82
11432,5,2
11478,10,6
11482,24,52
11483,14,15
11484,12,9
11493,14,30
11521,14,0
11543,5,2
11557,6,1
11575,3,2
11577,1,0
11580,3,0
11582,1,31
11604,2,11
11608,9,0
11619,1,1
11657,2701,15
11689,0,6
11701,4,0
11704,1,0
11706,0,2
11708,0,12
11710,22,27
11712,60,45
11719,10,144
11723,11,948
11766,7,0
11768,0,12
11776,6,0
11797,5472,34
11798,171,37
11807,5,0
11817,255,165
11820,2,3
11825,471,246
11829,0,6
11831,2,37
11832,0,1
11834,255,355
11837,0,1
11853,210,72
11860,24,17
11865,0,23
11873,3,0
11882,3,59
11897,0,4
11941,18,11
11951,1,4
11958,128,142
11971,779,110657
11977,74,36
11981,22,28
12010,2,0
12013,41,0
12016,242,0
12017,242,150
12050,58,799
12075,13,38
12082,153,0
12084,34,4
12094,14,0
12097,5451,53
12100,6,0
12102,0,3
12118,3,2
12122,249259,3583
12131,0,1
12160,0,2
12161,1,32
12177,0,7
12181,0,12
12193,0,25
12208,84,572
12209,0,13
12216,4,0
12222,3,5
12228,20,27
12242,58,5
12266,226,4
12278,8,0
12282,68,11
12303,22,143
12304,0,7
12308,3934,62
12325,32,10
12327,0,19
12330,1,1
12340,16,15
12356,31,0
12363,1,0
12373,1,3
12374,3,0
12376,0,2
12383,2,49
12387,0,30
12389,30,0
12392,0,11
12417,1,0
12421,0,5
12449,1,1
12462,4,0
12484,8,0
12494,7,3
12498,10263,753
12503,0,1
12505,0,4
12511,6,1
12531,0,2
12542,60,402
12563,2,6
12565,18,2
12578,0,29
12579,1,3
12585,10,3
12605,2,3
12626,46,402
12650,31,15
12653,0,1
12658,73,6
12659,654,14
12664,5,0
12671,169,213
12672,130,15
12674,0,2
12689,1,0
12712,14,10
12714,3,0
12733,3,17
12735,48,20
12767,16,5
12779,17,0
12809,2,0
12822,1,1
